date,area_type,area_name,daily_cases,cum_cases,new_deaths_28days,cum_deaths_28days,new_deaths_60days,cum_deaths_60days,new_first_episode,cum_first_episode,new_reinfections,cum_reinfections,new_virus_test,cum_virus_test,new_pcr_test,cum_pcr_test,new_lfd_test,cum_lfd_test,test_roll_pos_pct,test_roll_people,new_first_dose,cum_first_dose,new_second_dose,cum_second_dose,new_third_dose,cum_third_dose,new_admissions,cum_admissions,hospital_cases,ventilator_beds,trans_rate_min,trans_rate_max,trans_growth_min,trans_growth_max
2023-12-13,nation,England,583.0,21024823.0,,,,,294.0,19384397.0,289.0,1640426.0,,,,,,,,,,43786439.0,,41773077.0,434.0,33258442.0,,,,,,,,
2023-12-12,nation,England,1040.0,21024240.0,,,,,600.0,19384103.0,440.0,1640137.0,1707.0,544681241.0,1707.0,223510795.0,0.0,321170446.0,,,,43786439.0,,41773077.0,490.0,33258008.0,,,,,,,,
2023-12-11,nation,England,1183.0,21023200.0,,,,,703.0,19383503.0,480.0,1639697.0,5884.0,544679534.0,5884.0,223509088.0,0.0,321170446.0,,,,43786439.0,,41773077.0,549.0,33257518.0,,,,,,,,
2023-12-10,nation,England,947.0,21022017.0,,,,,538.0,19382800.0,409.0,1639217.0,5514.0,544673650.0,5514.0,223503204.0,0.0,321170446.0,,,,43786439.0,,41773077.0,102.0,33256969.0,,,,,,,,
2023-12-09,nation,England,771.0,21021070.0,,,,,480.0,19382262.0,291.0,1638808.0,6001.0,544668136.0,6001.0,223497690.0,0.0,321170446.0,,,,43786439.0,,41773077.0,450.0,33256867.0,,,,,,,,
2023-12-08,nation,England,882.0,21020299.0,,,,,532.0,19381782.0,350.0,1638517.0,7840.0,544662135.0,7840.0,223491689.0,0.0,321170446.0,,,,43786439.0,,41773077.0,580.0,33256417.0,308.0,1101585.0,2913.0,,,,,
2023-12-07,nation,England,807.0,21019417.0,,,,,480.0,19381250.0,327.0,1638167.0,8333.0,544654295.0,8333.0,223483849.0,0.0,321170446.0,,,,43786439.0,,41773077.0,574.0,33255837.0,364.0,1101277.0,2775.0,,,,,
2023-12-06,nation,England,945.0,21018610.0,,,,,564.0,19380770.0,381.0,1637840.0,8946.0,544645962.0,8946.0,223475516.0,0.0,321170446.0,,,,43786439.0,,41773077.0,601.0,33255263.0,455.0,1100913.0,2629.0,,,,,
2023-12-05,nation,England,933.0,21017665.0,,,,,571.0,19380206.0,362.0,1637459.0,10139.0,544637016.0,10139.0,223466570.0,0.0,321170446.0,,,,43786439.0,,41773077.0,687.0,33254662.0,420.0,1100458.0,2576.0,,,,,
2023-12-04,nation,England,950.0,21016732.0,,,,,544.0,19379635.0,406.0,1637097.0,9805.0,544626877.0,9805.0,223456431.0,0.0,321170446.0,8.7,28259.0,,43786439.0,,41773077.0,620.0,33253975.0,432.0,1100038.0,2475.0,,,,,
2023-12-03,nation,England,687.0,21015782.0,,,,,378.0,19379091.0,309.0,1636691.0,6445.0,544617072.0,6445.0,223446626.0,0.0,321170446.0,8.5,28578.0,,43786439.0,,41773077.0,126.0,33253355.0,380.0,1099606.0,2395.0,,,,,
2023-12-02,nation,England,519.0,21015095.0,,,,,325.0,19378713.0,194.0,1636382.0,6381.0,544610627.0,6381.0,223440181.0,0.0,321170446.0,8.2,28687.0,,43786439.0,,41773077.0,522.0,33253229.0,263.0,1099226.0,2388.0,,,,,
2023-12-01,nation,England,538.0,21014576.0,,,,,354.0,19378388.0,184.0,1636188.0,7914.0,544604246.0,7914.0,223433800.0,0.0,321170446.0,8.1,28794.0,,43786439.0,,41773077.0,722.0,33252707.0,255.0,1098963.0,2368.0,,,,,
2023-11-30,nation,England,655.0,21014038.0,,,,,393.0,19378034.0,262.0,1636004.0,8939.0,544596332.0,8939.0,223425886.0,0.0,321170446.0,8.2,29065.0,,43786439.0,,41773077.0,786.0,33251985.0,306.0,1098708.0,2313.0,,,,,
2023-11-29,nation,England,727.0,21013383.0,,,,,443.0,19377641.0,284.0,1635742.0,9726.0,544587393.0,9726.0,223416947.0,0.0,321170446.0,8.0,29391.0,,43786439.0,,41773077.0,877.0,33251199.0,324.0,1098402.0,2332.0,,,,,
2023-11-28,nation,England,682.0,21012656.0,,,,,399.0,19377198.0,283.0,1635458.0,9732.0,544577667.0,9732.0,223407221.0,0.0,321170446.0,7.8,29249.0,,43786439.0,,41773077.0,925.0,33250322.0,332.0,1098078.0,2331.0,,,,,
2023-11-27,nation,England,685.0,21011974.0,,,,,403.0,19376799.0,282.0,1635175.0,10534.0,544567935.0,10534.0,223397489.0,0.0,321170446.0,7.6,29115.0,,43786439.0,,41773077.0,900.0,33249397.0,327.0,1097746.0,2276.0,,,,,
2023-11-26,nation,England,506.0,21011289.0,,,,,307.0,19376396.0,199.0,1634893.0,8026.0,544557401.0,8026.0,223386955.0,0.0,321170446.0,7.6,29182.0,,43786439.0,,41773077.0,191.0,33248497.0,302.0,1097419.0,2275.0,,,,,
2023-11-25,nation,England,424.0,21010783.0,,,,,264.0,19376089.0,160.0,1634694.0,6704.0,544549375.0,6704.0,223378929.0,0.0,321170446.0,7.7,29294.0,,43786439.0,,41773077.0,861.0,33248306.0,215.0,1097117.0,2238.0,,,,,
2023-11-24,nation,England,545.0,21010359.0,,,,,328.0,19375825.0,217.0,1634534.0,8584.0,544542671.0,8584.0,223372225.0,0.0,321170446.0,7.7,29135.0,,43786439.0,,41773077.0,1100.0,33247445.0,231.0,1096902.0,2265.0,,,,,
2023-11-23,nation,England,562.0,21009814.0,,,,,332.0,19375497.0,230.0,1634317.0,8723.0,544534087.0,8723.0,223363641.0,0.0,321170446.0,7.6,29006.0,,43786439.0,,41773077.0,985.0,33246345.0,283.0,1096671.0,2321.0,,,,,
2023-11-22,nation,England,612.0,21009252.0,,,,,365.0,19375165.0,247.0,1634087.0,8682.0,544525364.0,8682.0,223354918.0,0.0,321170446.0,7.8,29007.0,,43786439.0,,41773077.0,1007.0,33245360.0,291.0,1096388.0,2310.0,,,,,
2023-11-21,nation,England,590.0,21008640.0,,,,,361.0,19374800.0,229.0,1633840.0,9877.0,544516682.0,9877.0,223346236.0,0.0,321170446.0,7.8,28983.0,,43786439.0,,41773077.0,919.0,33244353.0,295.0,1096097.0,2373.0,,,,,
2023-11-20,nation,England,695.0,21008050.0,,,,,394.0,19374439.0,301.0,1633611.0,9806.0,544506805.0,9806.0,223336359.0,0.0,321170446.0,8.0,29023.0,,43786439.0,,41773077.0,991.0,33243434.0,280.0,1095802.0,2443.0,,,,,
2023-11-19,nation,England,547.0,21007355.0,,,,,329.0,19374045.0,218.0,1633310.0,7337.0,544496999.0,7337.0,223326553.0,0.0,321170446.0,8.1,29356.0,,43786439.0,,41773077.0,166.0,33242443.0,281.0,1095522.0,2452.0,,,,,
2023-11-18,nation,England,449.0,21006808.0,,,,,270.0,19373716.0,179.0,1633092.0,7280.0,544489662.0,7280.0,223319216.0,0.0,321170446.0,8.1,29275.0,,43786439.0,,41773077.0,948.0,33242277.0,216.0,1095241.0,2475.0,,,,,
2023-11-17,nation,England,510.0,21006359.0,,,,,316.0,19373446.0,194.0,1632913.0,8530.0,544482382.0,8530.0,223311936.0,0.0,321170446.0,8.2,28850.0,,43786439.0,,41773077.0,1085.0,33241329.0,233.0,1095025.0,2503.0,,,,,
2023-11-16,nation,England,662.0,21005849.0,,,,,403.0,19373130.0,259.0,1632719.0,9100.0,544473852.0,9100.0,223303406.0,0.0,321170446.0,8.4,28926.0,,43786439.0,,41773077.0,1086.0,33240244.0,282.0,1094792.0,2507.0,,,,,
2023-11-15,nation,England,629.0,21005187.0,,,,,366.0,19372727.0,263.0,1632460.0,7604.0,544464752.0,7604.0,223294306.0,0.0,321170446.0,8.4,28839.0,,43786439.0,,41773077.0,1076.0,33239158.0,316.0,1094510.0,2533.0,,,,,
2023-11-14,nation,England,760.0,21004558.0,,,,,460.0,19372361.0,300.0,1632197.0,7410.0,544457148.0,7410.0,223286702.0,0.0,321170446.0,8.6,29086.0,,43786439.0,,41773077.0,1039.0,33238082.0,313.0,1094194.0,2550.0,,,,,
2023-11-13,nation,England,739.0,21003798.0,,,,,453.0,19371901.0,286.0,1631897.0,8562.0,544449738.0,8562.0,223279292.0,0.0,321170446.0,8.7,28778.0,,43786439.0,,41773077.0,1039.0,33237043.0,314.0,1093881.0,2700.0,,,,,
2023-11-12,nation,England,593.0,21003059.0,,,,,352.0,19371448.0,241.0,1631611.0,5708.0,544441176.0,5708.0,223270730.0,0.0,321170446.0,8.9,28856.0,,43786439.0,,41773077.0,263.0,33236004.0,303.0,1093567.0,2690.0,,,,,
2023-11-11,nation,England,291.0,21002466.0,,,,,207.0,19371096.0,84.0,1631370.0,7244.0,544435468.0,7244.0,223265022.0,0.0,321170446.0,8.9,28746.0,,43786439.0,,41773077.0,1120.0,33235741.0,251.0,1093264.0,2703.0,,,,,
2023-11-10,nation,England,275.0,21002175.0,,,,,211.0,19370889.0,64.0,1631286.0,9741.0,544428224.0,9741.0,223257778.0,0.0,321170446.0,9.1,28395.0,,43786439.0,,41773077.0,1117.0,33234621.0,238.0,1093013.0,2703.0,,,,,
2023-11-09,nation,England,493.0,21001900.0,,,,,303.0,19370678.0,190.0,1631222.0,8856.0,544418483.0,8856.0,223248037.0,0.0,321170446.0,9.1,28350.0,,43786439.0,,41773077.0,1191.0,33233504.0,351.0,1092775.0,2734.0,,,,,
2023-11-08,nation,England,693.0,21001407.0,,,,,425.0,19370375.0,268.0,1631032.0,11142.0,544409627.0,11142.0,223239181.0,0.0,321170446.0,9.4,28487.0,,43786439.0,,41773077.0,1202.0,33232313.0,338.0,1092424.0,2878.0,,,,,
2023-11-07,nation,England,817.0,21000714.0,,,,,503.0,19369950.0,314.0,1630764.0,10717.0,544398485.0,10717.0,223228039.0,0.0,321170446.0,9.5,28213.0,,43786439.0,,41773077.0,1267.0,33231111.0,356.0,1092086.0,2945.0,,,,,
2023-11-06,nation,England,780.0,20999897.0,,,,,471.0,19369447.0,309.0,1630450.0,9223.0,544387768.0,9223.0,223217322.0,0.0,321170446.0,9.6,28451.0,,43786439.0,,41773077.0,1292.0,33229844.0,361.0,1091730.0,3089.0,,,,,
2023-11-05,nation,England,683.0,20999117.0,,,,,396.0,19368976.0,287.0,1630141.0,7274.0,544378545.0,7274.0,223208099.0,0.0,321170446.0,9.8,28838.0,,43786439.0,,41773077.0,275.0,33228552.0,362.0,1091369.0,3172.0,,,,,
2023-11-04,nation,England,592.0,20998434.0,,,,,376.0,19368580.0,216.0,1629854.0,7549.0,544371271.0,7549.0,223200825.0,0.0,321170446.0,10.0,29103.0,,43786439.0,,41773077.0,1350.0,33228277.0,294.0,1091007.0,3136.0,,,,,
2023-11-03,nation,England,734.0,20997842.0,,,,,471.0,19368204.0,263.0,1629638.0,9485.0,544363722.0,9485.0,223193276.0,0.0,321170446.0,10.1,29432.0,,43786439.0,,41773077.0,1495.0,33226927.0,289.0,1090713.0,3236.0,,,,,
2023-11-02,nation,England,809.0,20997108.0,,,,,507.0,19367733.0,302.0,1629375.0,10304.0,544354237.0,10304.0,223183791.0,0.0,321170446.0,10.5,29353.0,,43786439.0,,41773077.0,1332.0,33225432.0,379.0,1090424.0,3365.0,,,,,
2023-11-01,nation,England,865.0,20996299.0,,,,,531.0,19367226.0,334.0,1629073.0,11042.0,544343933.0,11042.0,223173487.0,0.0,321170446.0,10.8,29333.0,,43786439.0,,41773077.0,1198.0,33224100.0,378.0,1090045.0,3411.0,,,,,
2023-10-31,nation,England,954.0,20995434.0,,,,,586.0,19366695.0,368.0,1628739.0,10547.0,544332891.0,10547.0,223162445.0,0.0,321170446.0,11.2,29629.0,,43786439.0,,41773077.0,1526.0,33222902.0,375.0,1089667.0,3473.0,,,,,
2023-10-30,nation,England,1011.0,20994480.0,,,,,596.0,19366109.0,415.0,1628371.0,9652.0,544322344.0,9652.0,223151898.0,0.0,321170446.0,11.7,29670.0,,43786439.0,,41773077.0,1598.0,33221376.0,402.0,1089292.0,3621.0,,,,,
