date,area_type,area_name,daily_cases,cum_cases,new_deaths_28days,cum_deaths_28days,new_deaths_60days,cum_deaths_60days,new_first_episode,cum_first_episode,new_reinfections,cum_reinfections,new_virus_test,cum_virus_test,new_pcr_test,cum_pcr_test,new_lfd_test,cum_lfd_test,test_roll_pos_pct,test_roll_people,new_first_dose,cum_first_dose,new_second_dose,cum_second_dose,new_third_dose,cum_third_dose,new_admissions,cum_admissions,hospital_cases,ventilator_beds,trans_rate_min,trans_rate_max,trans_growth_min,trans_growth_max
2023-10-02,nation,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,329.0,,,,,
2023-10-01,nation,Scotland,156.0,2189008.0,,,,,101.0,2017739.0,55.0,171269.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,328.0,,,,,
2023-09-30,nation,Scotland,134.0,2188852.0,,,,,90.0,2017638.0,44.0,171214.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,338.0,,,,,
2023-09-29,nation,Scotland,163.0,2188718.0,,,,,112.0,2017548.0,51.0,171170.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,316.0,,,,,
2023-09-28,nation,Scotland,166.0,2188555.0,,,,,95.0,2017436.0,71.0,171119.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,336.0,,,,,
2023-09-27,nation,Scotland,166.0,2188389.0,,,,,102.0,2017341.0,64.0,171048.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,335.0,,,,,
2023-09-26,nation,Scotland,207.0,2188223.0,,,,,118.0,2017239.0,89.0,170984.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,323.0,,,,,
2023-09-25,nation,Scotland,175.0,2188016.0,,,,,118.0,2017121.0,57.0,170895.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,301.0,,,,,
2023-09-24,nation,Scotland,151.0,2187841.0,,,,,89.0,2017003.0,62.0,170838.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,322.0,,,,,
2023-09-23,nation,Scotland,133.0,2187690.0,,,,,89.0,2016914.0,44.0,170776.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,322.0,,,,,
2023-09-22,nation,Scotland,156.0,2187557.0,,,,,91.0,2016825.0,65.0,170732.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,346.0,,,,,
2023-09-21,nation,Scotland,144.0,2187401.0,,,,,97.0,2016734.0,47.0,170667.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,360.0,,,,,
2023-09-20,nation,Scotland,171.0,2187257.0,,,,,103.0,2016637.0,68.0,170620.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,339.0,,,,,
2023-09-19,nation,Scotland,203.0,2187086.0,,,,,121.0,2016534.0,82.0,170552.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,337.0,,,,,
2023-09-18,nation,Scotland,179.0,2186883.0,,,,,106.0,2016413.0,73.0,170470.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,367.0,,,,,
2023-09-17,nation,Scotland,128.0,2186704.0,,,,,86.0,2016307.0,42.0,170397.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,370.0,,,,,
2023-09-16,nation,Scotland,89.0,2186576.0,,,,,54.0,2016221.0,35.0,170355.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,370.0,,,,,
2023-09-15,nation,Scotland,165.0,2186487.0,,,,,109.0,2016167.0,56.0,170320.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,377.0,,,,,
2023-09-14,nation,Scotland,133.0,2186322.0,,,,,79.0,2016058.0,54.0,170264.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,393.0,,,,,
2023-09-13,nation,Scotland,151.0,2186189.0,,,,,88.0,2015979.0,63.0,170210.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,440.0,,,,,
2023-09-12,nation,Scotland,174.0,2186038.0,,,,,116.0,2015891.0,58.0,170147.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,424.0,,,,,
2023-09-11,nation,Scotland,237.0,2185864.0,,,,,148.0,2015775.0,89.0,170089.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,420.0,,,,,
2023-09-10,nation,Scotland,153.0,2185627.0,,,,,90.0,2015627.0,63.0,170000.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,419.0,,,,,
2023-09-09,nation,Scotland,162.0,2185474.0,,,,,97.0,2015537.0,65.0,169937.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,428.0,,,,,
2023-09-08,nation,Scotland,184.0,2185312.0,,,,,122.0,2015440.0,62.0,169872.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,435.0,,,,,
2023-09-07,nation,Scotland,223.0,2185128.0,,,,,130.0,2015318.0,93.0,169810.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,428.0,,,,,
2023-09-06,nation,Scotland,240.0,2184905.0,,,,,122.0,2015188.0,118.0,169717.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,413.0,,,,,
2023-09-05,nation,Scotland,284.0,2184665.0,,,,,156.0,2015066.0,128.0,169599.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,383.0,,,,,
2023-09-04,nation,Scotland,280.0,2184381.0,,,,,147.0,2014910.0,133.0,169471.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,364.0,,,,,
2023-09-03,nation,Scotland,250.0,2184101.0,,,,,134.0,2014763.0,116.0,169338.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,376.0,,,,,
2023-09-02,nation,Scotland,205.0,2183851.0,,,,,118.0,2014629.0,87.0,169222.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,373.0,,,,,
2023-09-01,nation,Scotland,217.0,2183646.0,,,,,123.0,2014511.0,94.0,169135.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,361.0,,,,,
2023-08-31,nation,Scotland,260.0,2183429.0,,,,,150.0,2014388.0,110.0,169041.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,335.0,,,,,
2023-08-30,nation,Scotland,278.0,2183169.0,,,,,163.0,2014238.0,115.0,168931.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,321.0,,,,,
2023-08-29,nation,Scotland,223.0,2182891.0,,,,,120.0,2014075.0,103.0,168816.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,327.0,,,,,
2023-08-28,nation,Scotland,220.0,2182668.0,,,,,108.0,2013955.0,112.0,168713.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,305.0,,,,,
2023-08-27,nation,Scotland,175.0,2182448.0,,,,,77.0,2013847.0,98.0,168601.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,317.0,,,,,
2023-08-26,nation,Scotland,149.0,2182273.0,,,,,89.0,2013770.0,60.0,168503.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,335.0,,,,,
2023-08-25,nation,Scotland,191.0,2182124.0,,,,,118.0,2013681.0,73.0,168443.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,327.0,,,,,
2023-08-24,nation,Scotland,192.0,2181933.0,,,,,121.0,2013563.0,71.0,168370.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,325.0,,,,,
2023-08-23,nation,Scotland,214.0,2181741.0,,,,,118.0,2013442.0,96.0,168299.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,320.0,,,,,
2023-08-22,nation,Scotland,225.0,2181527.0,,,,,131.0,2013324.0,94.0,168203.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,332.0,,,,,
2023-08-21,nation,Scotland,220.0,2181302.0,,,,,133.0,2013193.0,87.0,168109.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,323.0,,,,,
2023-08-20,nation,Scotland,175.0,2181082.0,,,,,97.0,2013060.0,78.0,168022.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,319.0,,,,,
2023-08-19,nation,Scotland,147.0,2180907.0,,,,,97.0,2012963.0,50.0,167944.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,315.0,,,,,
2023-08-18,nation,Scotland,149.0,2180760.0,,,,,88.0,2012866.0,61.0,167894.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,326.0,,,,,
